Date,Open_EUR,High_EUR,Low_EUR,Close_EUR,Volume_EUR,Dividends_EUR,Stock Splits_EUR,FX,Open_USD,High_USD,Low_USD,Close_USD,Volume_USD
2015-04-22,156.76420225083976,158.39426433593462,154.64857766952844,155.16880798339844,547498,0.0,0.0,1.074171543121338,168.39164503797005,170.1426113433,166.11910131679744,166.67791791582567,588107
2015-04-23,156.0705410845101,157.28442358361883,152.63699516969655,153.2612762451172,662992,0.0,0.0,1.0725815296173096,167.39837968462498,168.70036763229473,163.715621755303,164.38521410608882,711113
2015-04-24,154.2324147055084,156.45209049258094,153.81622327617077,155.75843811035156,483669,0.0,0.0,1.0815019607543945,166.80265891589227,169.20324263185026,166.35254706901443,168.45305622038723,523089
2015-04-27,156.8682508862131,159.81625835479434,155.2728683564421,159.74688720703125,567615,0.0,0.0,1.086897373199463,170.49968982661935,173.7038714003927,168.7656727457629,173.62847208211315,616939
2015-04-28,159.7815822495526,160.64864474569774,153.92027007592822,154.99542236328125,542608,0.0,0.0,1.0877959728240967,173.8097617025255,174.75294879401898,167.43384992459204,168.60339625294728,590247
2015-04-29,155.2381798961183,156.10523042353137,147.7814743440101,147.88551330566406,894672,0.0,0.0,1.096912145614624,170.28264499116014,171.23372324554109,162.10329410478062,162.217415705436,981377
2015-04-30,147.50402250146485,148.75258480648185,144.3132455908324,146.11672973632812,1100886,0.0,0.0,1.1114321947097778,163.94071945732352,165.32841180022047,160.39438727271002,162.39883761466263,1223560
2015-05-04,148.18790252996286,149.5289617825982,147.05857426182058,148.9643096923828,501577,3.25,0.0,1.1185932159423828,165.7619824547475,167.26208223692217,164.4987235154316,166.63046623943956,561061
2015-05-05,148.15259658270003,151.3288141551685,146.38803929389888,146.52920532226562,672538,0.0,0.0,1.1149141788482666,165.1774305632395,168.71864056989162,163.21010062256505,163.36748862916284,749822
2015-05-06,146.45862897219766,147.48207975554251,143.49416620742932,145.8586883544922,571462,0.0,0.0,1.1186307668685913,163.83312844169194,164.97799197631727,160.51698918578575,163.16201640843246,639255
2015-05-07,146.8115313991272,149.31720722382963,145.75279225142856,148.71725463867188,650841,0.0,0.0,1.1341469287872314,166.50584744687032,169.34765198799298,165.30508169412107,168.66721760611836,738149
2015-05-08,149.98773453740276,153.7991930028917,149.81128002275537,153.51686096191406,714218,0.0,0.0,1.1246949434280396,168.690446610444,172.97717467366544,168.49198911007505,172.65963725481015,803277
2015-05-11,153.1639457507104,153.37568875097008,150.76413554311472,151.54054260253906,469884,0.0,0.0,1.1194071769714355,171.45282012660886,171.68984676077298,168.7664553568569,169.6355709914278,525992
2015-05-12,149.84658353578078,150.37595917663597,147.34090749771016,148.04673767089844,632085,0.0,0.0,1.114441990852356,166.99532487803938,167.5852833211428,164.20289428574094,164.98950106915254,704422
2015-05-13,148.7525487870093,149.77599947891582,147.51735507505725,148.29376220703125,598922,0.0,0.0,1.1221455335617065,166.92200822726232,168.07046885000588,165.53594112031183,166.40718291568191,672078
2015-05-14,147.23502520566922,151.04648393007943,145.85867748915032,150.62298583984375,409836,0.0,0.0,1.1350480318069458,167.1188255727409,171.44501429619612,165.55660480602415,170.96432362240012,465184
2015-05-15,150.9758968041098,151.57583733685888,146.9173947884876,147.6938018798828,527445,0.0,0.0,1.1404979228973389,172.1876967126502,172.87192764411245,167.55898359375843,168.44447426881743,601550
2015-05-18,148.364352159802,150.65828507386814,147.30561296532105,150.2347869873047,480980,0.0,0.0,1.144505262374878,169.80378179573296,172.4292000874166,168.59204921616697,171.94450429873905,550484
2015-05-19,151.78760446432213,156.34016984843103,151.78760446432213,155.9166717529297,649959,0.0,0.0,1.1326183080673218,171.91741975397238,177.07373865668768,171.91741975397238,176.5940769602912,736155
2015-05-20,156.3754505973713,157.43418976173874,153.90507527232063,155.21084594726562,423986,0.0,0.0,1.1146656274795532,174.30633976251676,175.48647991750357,171.55269730070916,173.0081949894411,472603
2015-05-21,154.92850480548844,155.21083683859823,153.23452465068408,154.32855224609375,355505,0.0,0.0,1.1100751161575317,171.9822779680653,172.29568773251464,170.1018327509523,171.31628556100623,394637
2015-05-22,153.86977453418675,154.57560465747036,152.56400386093077,153.9050750732422,312357,0.0,0.0,1.1111851930618286,170.97781512215033,171.7621231039601,169.52686208449393,171.01704055845585,347086
2015-05-26,154.0462272811345,155.42258697280587,150.51711283689772,151.22293090820312,543120,0.0,0.0,1.0971167087554932,169.00668987087894,170.51671708586917,165.1348394469964,165.90920424636715,595866
2015-05-27,150.90532392829567,154.3991622355632,150.90532392829567,153.79920959472656,505948,0.0,0.0,1.08888578414917,164.31866197794673,168.12305284284616,164.31866197794673,167.46977294107637,550920
2015-05-28,152.7757407813014,153.9403574272956,151.2229266158789,152.0346221923828,394475,0.0,0.0,1.0900014638900757,166.52578109850927,167.79521494751367,164.83321138504948,165.71796075167185,429978
2015-05-29,151.9287696324055,152.17580115381847,148.39964294433594,148.39964294433594,695049,0.0,0.0,1.0960345268249512,166.51917713515058,166.78993221183327,162.65113243548694,162.65113243548694,761798
2015-06-01,148.68197644750714,150.76415434865217,147.72911476170236,149.9877471923828,483166,0.0,0.0,1.0957943201065063,162.92486529338768,165.20650401091368,161.8807248702357,164.35572145898368,529451
2015-06-02,150.76414175127633,150.76414175127633,146.56448575890468,147.6938018798828,549585,0.0,0.0,1.0922993421554565,164.67957285555113,164.67957285555113,160.09229137780437,161.32584263383433,600311
2015-06-03,148.04674786920822,150.97592221297015,146.84684251405972,149.31723022460938,406300,0.0,0.0,1.1150012016296387,165.07230177152732,168.33833468460458,163.73440585869488,166.48889112444886,453025
2015-06-04,148.29377870638237,149.105486468555,145.47048192032713,147.37620544433594,531375,0.0,0.0,1.1257838010787964,166.946733868409,167.86054131827288,163.76831208103022,165.91374475369412,598213
2015-06-05,145.6469268798828,147.02328668238306,144.2352785797467,145.6469268798828,522089,0.0,0.0,1.120787262916565,163.23922052991293,164.78182706574557,161.65706309540255,163.23922052991293,585151
2015-06-08,145.36458673513314,145.36458673513314,141.5884286453485,142.4354248046875,706045,0.0,0.0,1.1108149290084839,161.47315309453452,161.47315309453452,157.27854031410558,158.2193962927122,784285
2015-06-09,141.51784705555892,145.08226201161537,140.74143995665412,144.9058074951172,712279,0.0,0.0,1.128095269203186,159.64561377119605,163.6666134206004,158.76975259594576,163.46755591530928,803519
2015-06-10,145.43516569575004,150.41122864463537,144.23526057506726,149.5995330810547,735630,0.0,0.0,1.1299052238464355,164.3279534505999,169.95043297073414,162.97217438662034,169.03329391327134,831192
2015-06-11,149.917182324155,152.59931306897792,149.4936841927019,150.97592163085938,632462,0.0,0.0,1.131196141242981,169.58573815110455,172.61975409995742,169.1066786989812,170.78337996943083,715439
2015-06-12,150.23479899225697,151.85819038802234,146.98800415686995,148.82315063476562,499612,0.0,0.0,1.1240627765655518,168.87334529200393,170.69813913178058,165.2237440744001,167.286563919748,561595
2015-06-15,146.74094247358647,147.55265011519256,145.117551278084,145.75279235839844,426933,0.0,0.0,1.1219944953918457,164.6425297039755,165.55326120972504,162.82109371875416,163.53383071411372,479016
2015-06-16,144.87050240545412,147.87026522324624,143.67060932219167,147.4820556640625,567606,0.0,0.0,1.1277008056640625,163.37058227958812,166.75341722601337,162.01746188288232,166.3156329933554,640090
2015-06-17,147.94087475788183,148.29378385743303,143.91767248265558,144.79995727539062,606067,0.0,0.0,1.124201774597168,166.31539393826813,166.71213497425506,161.79250280089542,162.78436893058824,681342
