Date,Open_USD,High_USD,Low_USD,Close_USD,Volume_USD,Dividends_USD,Stock Splits_USD
2015-07-27,99.53991537469776,100.27864303672636,99.28950616166281,99.583740234375,3876685,0.0,0.0
2015-07-28,100.10962352195304,100.28491299484647,99.22691118003024,100.19727325439453,2846166,0.0,0.0
2015-07-29,100.16597516469314,101.10503239963595,99.78409128963031,100.84835815429688,3533806,0.0,0.0
2015-07-30,100.47895820836936,101.04239634406606,100.00943475527767,100.76693725585938,2086456,0.0,0.0
2015-07-31,101.04243501224236,101.45561381068615,100.56038142340242,101.41178894042969,3744889,0.0,0.0
2015-08-03,101.23022472127627,101.32412942951593,98.85128213123136,99.3583755493164,4828022,0.0,0.0
2015-08-04,99.16431115780394,99.42725036258837,98.20646904836677,98.66348266601562,5502588,0.0,0.0
2015-08-05,99.60251248097312,99.87796158101607,98.58832582104063,98.85126495361328,3632549,0.0,0.0
2015-08-06,99.18583825418295,99.44465330484536,98.58616794274705,98.67454528808594,3143021,1.24283,0.0
2015-08-07,98.40308543091142,98.63032555818478,97.42466832960237,97.91703033447266,3969465,0.0,0.0
2015-08-10,98.95859252299566,99.40045907511364,98.54829074601075,98.94596862792969,4825616,0.0,0.0
2015-08-11,98.44729128189043,98.4662321622983,97.75293674102322,98.16323852539062,3312787,0.0,0.0
2015-08-12,97.37422177319604,98.80080286371914,97.17853623945429,98.57356262207031,3724074,0.0,0.0
2015-08-13,98.51042623536779,98.5293570418774,97.41207676008071,97.885498046875,2649936,0.0,0.0
2015-08-14,97.84130655877736,98.60509750248755,97.57618462813757,98.31472778320312,3374814,0.0,0.0
2015-08-17,97.96755659795632,98.90810231857776,97.65193905427994,98.66822814941406,2353082,0.0,0.0
2015-08-18,98.16324901123323,98.80079105391573,97.99912827995482,98.47886657714844,2111142,0.0,0.0
2015-08-19,97.93602725507817,98.26426877949977,96.83767751568608,97.17222595214844,4399894,0.0,0.0
2015-08-20,96.4147176893338,97.15326085867312,96.26322087960247,96.36421203613281,4196029,0.0,0.0
2015-08-21,95.63198505984766,96.69876962895077,93.86452901090469,93.95921325683594,7700757,0.0,0.0
2015-08-24,90.56318664550781,93.27117861994053,90.26650997206576,90.56318664550781,10658426,0.0,0.0
2015-08-25,92.75356690375608,92.86087505702565,88.76416390172706,88.97879028320312,7398567,0.0,0.0
2015-08-26,90.95454190008005,92.77881065094307,89.72363653399682,92.60206604003906,6508003,0.0,0.0
2015-08-27,93.73829438249324,94.03497106029599,91.94559026940236,93.76354217529297,5205524,0.0,0.0
2015-08-28,93.26487721536697,93.54893000936428,92.90507096467441,93.4100570678711,4263810,0.0,0.0
2015-08-31,93.03130128791467,93.67516020303664,92.32431282576101,93.35322570800781,4281383,0.0,0.0
2015-09-01,91.47216665568105,91.5163452544956,89.54058965606282,90.06450653076172,5514512,0.0,0.0
2015-09-02,91.36486134567077,91.57948775926809,90.38013686249931,91.560546875,4447592,0.0,0.0
2015-09-03,92.19176761522846,93.44161390752357,92.0150229978754,92.6525650024414,3769261,0.0,0.0
2015-09-04,91.25754114106796,91.78146809569087,90.46850229128616,90.70836639404297,4394351,0.0,0.0
2015-09-08,92.07183038786935,93.00605908056937,91.9455813611652,92.9366226196289,4114232,0.0,0.0
2015-09-09,93.88980211786739,94.07917066079445,91.43429782140248,91.560546875,3564559,0.0,0.0
2015-09-10,92.06551995335249,92.89244055841777,91.21966854164324,92.28645324707031,3620938,0.0,0.0
2015-09-11,92.10338905922768,93.10705425613953,91.95189223563841,93.02499389648438,3258395,0.0,0.0
2015-09-14,93.02499559593309,93.02499559593309,91.78777319317432,91.93927001953125,3375128,0.0,0.0
2015-09-15,92.53893784758417,93.37847215157672,92.00869398987403,93.12598419189453,2842087,0.0,0.0
2015-09-16,93.321666578274,93.98446641257652,93.13229807559793,93.68147277832031,2927963,0.0,0.0
2015-09-17,93.48579957231996,94.4831477649103,92.98080345334792,93.51104736328125,4187138,0.0,0.0
2015-09-18,92.19175052122006,92.40636678644,90.88509190224359,91.21965026855469,8342687,0.0,0.0
2015-09-21,91.77513299761003,92.77879803460284,91.47845638303136,92.46318054199219,4000950,0.0,0.0
2015-09-22,91.28909860671317,91.56684445076255,90.75254779886734,91.1691665649414,3728049,0.0,0.0
2015-09-23,91.0302800927379,91.25752024726606,90.1086754314449,90.68309783935547,2797213,0.0,0.0
2015-09-24,90.01398680725231,91.57313326702351,89.60368510731251,91.15652465820312,3431194,0.0,0.0
2015-09-25,91.8761582684479,92.33064878575068,91.23229922100339,91.79409790039062,3634222,0.0,0.0
2015-09-28,91.16283370592,91.76882086925912,89.93192857722148,89.96349334716797,4515896,0.0,0.0
2015-09-29,89.62899017953308,90.05191604248361,89.09875612261698,89.9319839477539,4982621,0.0,0.0
2015-09-30,90.70204541815635,91.97713933622789,90.68310453932341,91.51002502441406,4127725,0.0,0.0
2015-10-01,91.72465688839749,91.95189709833018,89.37647111098974,90.63893127441406,4059421,0.0,0.0
2015-10-02,89.03559129121331,91.2701618908833,88.72629073254485,91.26385498046875,3194902,0.0,0.0
2015-10-05,92.046579387062,94.61569812744354,92.046579387062,94.07914733886719,5367863,0.0,0.0
2015-10-06,94.09178368713978,94.77983137855657,93.73198752712518,93.9150390625,3156933,0.0,0.0
2015-10-07,94.710393840034,95.14594344850539,93.96554366067431,94.74195861816406,3117917,0.0,0.0
2015-10-08,94.48942880924817,96.59144284300498,94.23694089381578,96.12432861328125,5014942,0.0,0.0
2015-10-09,96.23796002475535,96.67350951549977,95.48678298789724,96.19377136230469,3693531,0.0,0.0
2015-10-12,96.20010283675235,96.31372797637364,95.22169547870638,95.40474700927734,3376070,0.0,0.0
2015-10-13,95.17752610741219,95.17752610741219,94.1675537668806,94.4452896118164,4095822,0.0,0.0
2015-10-14,94.4326166089147,95.09541627989083,94.0665035889624,94.69142150878906,3507238,0.0,0.0
2015-10-15,95.2595685898239,95.46787799059544,93.78878896309568,94.74195861816406,3636105,0.0,0.0
2015-10-16,94.96917661157582,95.4426078730376,94.2180096223211,94.93130493164062,3643950,0.0,0.0
2015-10-19,94.59045744242331,94.66620081653112,93.66254569745095,94.19277954101562,8320616,0.0,0.0
2015-10-20,89.94456500124004,90.19074606127755,88.54322200951762,88.77677917480469,16762778,0.0,0.0
2015-10-21,88.53061126301365,90.05188651826755,87.93094091103104,88.95353698730469,7312168,0.0,0.0
2015-10-22,89.47115818745655,91.57316293904013,89.39540473180315,90.95455169677734,5840027,0.0,0.0
2015-10-23,91.28278428950168,91.83827599383537,90.70836177929809,91.32697296142578,5617438,0.0,0.0
2015-10-26,91.37114536199753,91.52894906584922,90.39904512746158,90.68309783935547,3649912,0.0,0.0
2015-10-27,90.58843477745664,90.79042719257984,86.68740903412208,87.02195739746094,15698891,0.0,0.0
2015-10-28,87.05983821332255,89.14921895858826,86.79471624484057,88.89672088623047,8902924,0.0,0.0
2015-10-29,88.6000158027528,88.89038547036772,87.75416465899376,88.7199478149414,3881078,0.0,0.0
2015-10-30,88.65055720535591,89.21235595546729,88.30969179320213,88.4233169555664,4167264,0.0,0.0
2015-11-02,88.68840647869008,88.7010303726672,88.10136014647999,88.6063461303711,3998021,0.0,0.0
2015-11-03,88.38543915202715,90.14027176088139,88.3096856907061,89.55953216552734,4549472,0.0,0.0
2015-11-04,89.98245527232694,90.04558483405519,89.19341635022825,89.40172576904297,3678677,0.0,0.0
2015-11-05,89.38909320686031,89.87513839537576,88.13924689006237,88.3033676147461,5331357,0.0,0.0
