Date,Open_USD,High_USD,Low_USD,Close_USD,Volume_USD,Dividends_USD,Stock Splits_USD
2015-04-22,36.82736326877891,37.22437978153685,36.72379531832134,37.10354995727539,25064300,0.0,0.0
2015-04-23,37.017217810772514,37.638631715880244,36.93954107263404,37.405601501464844,46309500,0.0,0.0
2015-04-24,39.40793508427333,41.54835692606219,39.39930579808742,41.31532669067383,130933700,0.0,0.0
2015-04-27,40.762953094836305,41.53972041095442,40.754323810152094,41.45341110229492,59248200,0.0,0.0
2015-04-28,41.23764954764244,42.471844879254974,41.168605381729165,42.42869186401367,60730800,0.0,0.0
2015-04-29,42.04893544752998,42.558148865194234,41.85905825344254,42.34238052368164,47804600,0.0,0.0
2015-04-30,42.0316706849591,42.756652394112535,41.9453613788912,41.97988510131836,64725500,0.0,0.0
2015-05-01,41.92810626296561,42.187027617765615,41.77275279161288,41.99715042114258,38937300,0.0,0.0
2015-05-04,41.74685597567447,42.178392639903706,41.58287322851821,41.63465881347656,34039500,0.0,0.0
2015-05-05,41.27216400998241,41.56560905704596,40.831998085568735,41.0822868347168,50369200,0.0,0.0
2015-05-06,41.05642018549878,41.229035603059025,39.718656461046116,39.94305419921875,52433000,0.0,0.0
2015-05-07,39.93440114413656,40.64212097182645,39.83946255636003,40.30552291870117,32971700,0.0,0.0
2015-05-08,41.03914610838947,41.41026799343477,41.01325495578397,41.211761474609375,35364900,0.0,0.0
2015-05-11,41.0391348910036,41.34984180679985,40.88378143310547,40.88378143310547,24609400,0.0,0.0
2015-05-12,40.43497949838974,41.151331859443935,40.06385774619399,40.86651611328125,29928300,0.0,0.0
2015-05-13,41.59149606697402,41.703696504145654,41.05639160812638,41.108177185058594,34184600,0.0,0.0
2015-05-14,41.45341597474435,42.135244777661164,41.45341597474435,42.0489387512207,32980900,0.0,0.0
2015-05-15,42.178402608352116,42.212926339817024,41.47068257514261,41.68645095825195,28642700,0.0,0.0
2015-05-18,41.41025463821536,41.617393669347706,41.09091845373441,41.4361457824707,24136500,0.0,0.0
2015-05-19,41.31452750827035,41.53169806291353,40.984427337360025,41.33190155029297,28574800,0.31,0.0
2015-05-20,41.16684980795796,41.635939001289536,41.06260886958195,41.33190155029297,25047900,0.0,0.0
2015-05-21,41.07130567055055,41.34928379279964,40.836761008572765,41.19292068481445,22410700,0.0,0.0
2015-05-22,41.0886781050991,41.132111563666086,40.67171093808717,40.741207122802734,25720600,0.0,0.0
2015-05-26,40.6804014484976,40.7238349090189,40.1244418870388,40.47191619873047,29581900,0.0,0.0
2015-05-27,40.67171502500041,41.49696407574053,40.497977859513945,41.357975006103516,27335600,0.0,0.0
2015-05-28,41.26241615605062,41.71413142530497,41.16686055685597,41.2189826965332,19283700,0.0,0.0
