Date,Open_JPY,High_JPY,Low_JPY,Close_JPY,Volume_JPY,Dividends_JPY,Stock Splits_JPY,FX,Open_USD,High_USD,Low_USD,Close_USD,Volume_USD
2015-04-22,1995.104304061026,2014.5906721698113,1977.116887345224,1986.110595703125,437500,0.0,0.0,0.008358897641301155,16.676872661365493,16.839757217787543,16.526517686206674,16.601695173786084,3657
2015-04-23,1986.1105752486067,1995.1042835138835,1932.1483256569466,1950.1357421875,787000,0.0,0.0,0.00833680760115385,16.557821740464632,16.63280055589315,16.107948847893518,16.257906478750556,6561
2015-04-24,1927.6517333984375,1933.6475397231604,1915.6601207489916,1927.6517333984375,515000,0.0,0.0,0.008363232016563416,16.121398693541778,16.171543012961813,16.021110054701705,16.121398693541778,4307
2015-04-27,1918.6580448465775,1929.1507060293322,1896.1737708835317,1905.16748046875,515000,0.0,0.0,0.008408519439399242,16.13307346765219,16.221301213178414,15.944014012953142,16.01963779483276,4330
2015-04-28,1930.649744104456,1947.138212415907,1921.6560341163918,1942.641357421875,585500,0.0,0.0,0.008394473232328892,16.20678759788748,16.34519960377006,16.131290140133345,16.307450874892993,4915
2015-04-30,1927.6515831070597,1953.1337580003878,1923.1547287141193,1932.1484375,616500,0.0,0.0,0.008405480533838272,16.202837857828918,16.41702778285465,16.165039635765552,16.240636079892283,5182
2015-05-01,1915.6598620977693,1920.156716234149,1893.1755914158705,1917.1588134765625,406000,0.0,0.0,0.008371563628315926,16.03706842576239,16.074714126292346,15.848839923112592,16.049616992605706,3399
2015-05-07,1897.6727653952207,1930.6497012867649,1893.1759105009191,1911.163330078125,441500,0.0,0.0,0.008375419303774834,15.893805111538903,16.17000077698429,15.856142066250895,16.006794247402922,3698
2015-05-08,1896.173580854367,1905.1672895382612,1833.2176200671072,1870.69140625,1256500,0.0,0.0,0.008353590965270996,15.839858493610592,15.91498825721665,15.313950148368184,15.626990830060095,10496
2015-05-11,1908.165564109591,1950.1362128095664,1882.6833845417489,1896.1739501953125,1504000,0.0,0.0,0.008348639123141766,15.93058568195721,16.280983481717463,15.717844160674197,15.830472024882852,12556
2015-05-12,1881.1840175841905,1993.605373216712,1845.2091837817836,1930.6494140625,1423500,0.0,0.0,0.008324245922267437,15.659438387409873,16.595261398609665,15.359975023825937,16.071200512337782,11850
2015-05-13,1942.641115884425,1984.6117572769897,1914.1610377966133,1968.123291015625,1449500,0.0,0.0,0.008344807662069798,16.210966468484173,16.561203398358828,15.973305694640654,16.423610318765213,12096
2015-05-14,1953.1340190746166,1975.618294044777,1935.146599098488,1942.641357421875,928000,0.0,0.0,0.00839207787066698,16.39085277992295,16.579542566338027,16.23990095079089,16.302797546262582,7788
2015-05-15,1960.6282100752405,1966.624014999018,1905.1670145302987,1908.1649169921875,639000,0.0,0.0,0.008389894850552082,16.449464523557406,16.49976869641232,15.984150924649438,16.009303011076895,5361
2015-05-18,1924.6535202026366,1945.63883895874,1911.1629581451416,1918.65771484375,555500,0.0,0.0,0.008380122482776642,16.128832236205323,16.30469177772158,16.015779673802015,16.078586652914964,4655
2015-05-19,1941.1423410814862,1950.1360507698946,1929.1507281636084,1933.6475830078125,551500,0.0,0.0,0.008340283297002316,16.189677044425892,16.26468713111821,16.0896635955028,16.127168638848957,4600
2015-05-20,1953.1338426966865,2017.5887584572067,1944.1401335208002,2002.5992431640625,1257000,0.0,0.0,0.008288300596177578,16.188160392837553,16.722382109562044,16.113617827713203,16.598144501021466,10418
2015-05-21,2004.0986622777477,2025.0839885843209,1989.1091434873383,1999.601806640625,531500,0.0,0.0,0.008250008337199688,16.53383067236216,16.706959789350243,16.41016701737067,16.496731575864715,4385
2015-05-22,2007.0957265897262,2049.066361649108,1993.6051653206391,2043.070556640625,708000,0.0,0.0,0.008261799812316895,16.58222309724104,16.92897608209746,16.470766780680048,16.87943994140369,5849
2015-05-25,2062.557416213768,2112.022819364244,2055.0626581606657,2068.55322265625,1402500,0.0,0.0,0.008225645869970322,16.96586689225544,17.372751781386565,16.90421766662951,17.015186272756182,11536
2015-05-26,2068.553025043496,2121.0163264032944,2046.0687530321534,2100.031005859375,1441000,0.0,0.0,0.008223684504628181,17.01112745905195,17.442569097506162,16.826223899714424,17.269992442124476,11850
2015-05-27,2091.0375399784575,2130.0102826590596,2082.043830129088,2125.513427734375,851000,0.0,0.0,0.008131006732583046,17.002240315648727,17.319127948771932,16.929112400312604,17.28256399110387,6919
2015-05-28,2153.993378350371,2176.4776516108136,2125.513298887144,2133.008056640625,857000,0.0,0.0,0.008081461302936077,17.407414133919072,17.58911991819798,17.177253473832458,17.237822068592095,6926
2015-05-29,2131.508885117828,2150.9952532658813,2086.5403432377047,2103.02880859375,1580000,0.0,0.0,0.008076239377260208,17.21457599096861,17.371952564725703,16.85139928229838,16.984564075477465,12760
2015-06-01,2089.5382618572694,2122.515192819149,2083.5424562278367,2113.521484375,593000,0.0,0.0,0.008051984012126923,16.824928677202212,17.09045839807628,16.7766505461342,17.01804120147426,4775
2015-06-02,2115.0205048351754,2118.0184077477693,2083.542524252937,2089.538330078125,631500,0.0,0.0,0.008009804412722588,16.940900572627545,16.964913188605752,16.688768104856333,16.736793336812752,5058
2015-06-03,2088.03902779981,2097.032735026514,2059.5589549152464,2067.0537109375,603000,0.0,0.0,0.00806217547506094,16.834137040897716,16.906645886730725,16.60452569575984,16.664949733954018,4861
2015-06-04,2056.561438580512,2082.043613839892,2043.0708752078995,2070.052001953125,451500,0.0,0.0,0.008044793270528316,16.544611621520538,16.74961045356562,16.436082828084906,16.65314041495617,3632
2015-06-05,2055.0623619101966,2070.0518758555663,2031.0791395976048,2044.5697021484375,630000,0.0,0.0,0.008039877749979496,16.5224501583421,16.642964017994487,16.32962798289828,16.438090456585428,5065
2015-06-08,2053.5637640619243,2064.0564256301236,2029.580537620325,2034.077392578125,705500,0.0,0.0,0.007959946058690548,16.34625679001444,16.429777810109403,16.15535160122595,16.191146324123793,5616
2015-06-09,2035.575827195149,2044.5695348263498,2001.0999479422119,2005.5968017578125,873500,0.0,0.0,0.008028065785765648,16.341736652636982,16.413938729158204,16.06496202597229,16.101063064232903,7013
